Category,Subcategory,Item,URL_or_File,Check
OOP Fundamentals,,Classes and Objects,https://algomaster.io/learn/lld/classes-and-objects,
OOP Fundamentals,,Enums,https://algomaster.io/learn/lld/enums,
OOP Fundamentals,,Interfaces,https://algomaster.io/learn/lld/interfaces,
OOP Fundamentals,,Encapsulation,https://algomaster.io/learn/lld/encapsulation,
OOP Fundamentals,,Abstraction,https://algomaster.io/learn/lld/abstraction,
OOP Fundamentals,,Inheritance,https://algomaster.io/learn/lld/inheritance,
OOP Fundamentals,,Polymorphism,https://algomaster.io/learn/lld/polymorphism,
Class Relationships,,Association,https://algomaster.io/learn/lld/association,
Class Relationships,,Aggregation,https://algomaster.io/learn/lld/aggregation,
Class Relationships,,Composition,https://algomaster.io/learn/lld/composition,
Class Relationships,,Dependency,https://algomaster.io/learn/lld/dependency,
Design Principles,,DRY Principle,https://algomaster.io/learn/lld/dry,
Design Principles,,YAGNI Principle,https://algomaster.io/learn/lld/yagni,
Design Principles,,KISS Principle,https://algomaster.io/learn/lld/kiss,
Design Principles,,SOLID Principles with Pictures,https://medium.com/backticks-tildes/the-s-o-l-i-d-principles-in-pictures-b34ce2f1e898,
Design Principles,,SOLID Principles with Code,https://blog.algomaster.io/p/solid-principles-explained-with-code,
Design Patterns,Creational,Singleton,https://algomaster.io/learn/lld/singleton,
Design Patterns,Creational,Factory Method,https://algomaster.io/learn/lld/factory-method,
Design Patterns,Creational,Abstract Factory,https://algomaster.io/learn/lld/abstract-factory,
Design Patterns,Creational,Builder,https://algomaster.io/learn/lld/builder,
Design Patterns,Creational,Prototype,https://algomaster.io/learn/lld/prototype,
Design Patterns,Structural,Adapter,https://algomaster.io/learn/lld/adapter,
Design Patterns,Structural,Bridge,https://algomaster.io/learn/lld/bridge,
Design Patterns,Structural,Composite,https://algomaster.io/learn/lld/composite,
Design Patterns,Structural,Decorator,https://algomaster.io/learn/lld/decorator,
Design Patterns,Structural,Facade,https://algomaster.io/learn/lld/facade,
Design Patterns,Structural,Flyweight,https://algomaster.io/learn/lld/flyweight,
Design Patterns,Structural,Proxy,https://algomaster.io/learn/lld/proxy,
Design Patterns,Behavioral,Iterator,https://algomaster.io/learn/lld/iterator,
Design Patterns,Behavioral,Observer,https://algomaster.io/learn/lld/observer,
Design Patterns,Behavioral,Strategy,https://algomaster.io/learn/lld/strategy,
Design Patterns,Behavioral,Command,https://algomaster.io/learn/lld/command,
Design Patterns,Behavioral,State,https://algomaster.io/learn/lld/state,
Design Patterns,Behavioral,Template Method,https://algomaster.io/learn/lld/template-method,
Design Patterns,Behavioral,Visitor,https://algomaster.io/learn/lld/visitor,
Design Patterns,Behavioral,Mediator,https://algomaster.io/learn/lld/mediator,
Design Patterns,Behavioral,Memento,https://algomaster.io/learn/lld/memento,
Design Patterns,Behavioral,Chain of Responsibility,https://algomaster.io/learn/lld/chain-of-responsibility,
UML,,Class Diagram,https://algomaster.io/learn/lld/class-diagram,
UML,,Use Case Diagram,https://algomaster.io/learn/lld/use-case-diagram,
UML,,Sequence Diagram,https://algomaster.io/learn/lld/sequence-diagram,
UML,,Activity Diagram,https://algomaster.io/learn/lld/activity-diagram,
UML,,State Machine Diagram,https://algomaster.io/learn/lld/state-machine-diagram,
Concurrency and Multi-threading Concepts,Concurrency 101,Introduction to Concurrency,https://algomaster.io/learn/concurrency-interview/introduction-to-concurrency,
Concurrency and Multi-threading Concepts,Concurrency 101,Concurrency vs Parallelism,https://algomaster.io/learn/concurrency-interview/concurrency-vs-parallelism,
Concurrency and Multi-threading Concepts,Concurrency 101,Processes vs Threads,https://algomaster.io/learn/concurrency-interview/processes-vs-threads,
Concurrency and Multi-threading Concepts,Concurrency 101,Thread Lifecycle and States,https://algomaster.io/learn/concurrency-interview/thread-lifecycle-and-states,
Concurrency and Multi-threading Concepts,Concurrency 101,Race Conditions and Critical Sections,https://algomaster.io/learn/concurrency-interview/race-conditions-and-critical-sections,
Concurrency and Multi-threading Concepts,Synchronization Primitives,Mutex (Mutual Exclusion),https://algomaster.io/learn/concurrency-interview/mutex,
Concurrency and Multi-threading Concepts,Synchronization Primitives,Semaphores,https://algomaster.io/learn/concurrency-interview/semaphores,
Concurrency and Multi-threading Concepts,Synchronization Primitives,Condition Variables,https://algomaster.io/learn/concurrency-interview/condition-variables,
Concurrency and Multi-threading Concepts,Synchronization Primitives,Coarse-grained vs Fine-grained Locking,https://algomaster.io/learn/concurrency-interview/coarse-vs-fine-grained-locking,
Concurrency and Multi-threading Concepts,Synchronization Primitives,Reentrant Locks,https://algomaster.io/learn/concurrency-interview/reentrant-locks,
Concurrency and Multi-threading Concepts,Synchronization Primitives,Try-Lock and Timed Locking,https://algomaster.io/learn/concurrency-interview/try-lock-and-timed-locking,
Concurrency and Multi-threading Concepts,Synchronization Primitives,Compare-and-Swap (CAS),https://algomaster.io/learn/concurrency-interview/compare-and-swap,
Concurrency and Multi-threading Concepts,Concurrency Challenges,Deadlock,https://algomaster.io/learn/concurrency-interview/deadlock,
Concurrency and Multi-threading Concepts,Concurrency Challenges,Livelock,https://algomaster.io/learn/concurrency-interview/livelock,
Concurrency and Multi-threading Concepts,Concurrency Patterns,Signaling Pattern,https://algomaster.io/learn/concurrency-interview/signaling-pattern,
Concurrency and Multi-threading Concepts,Concurrency Patterns,Thread Pool Pattern,https://algomaster.io/learn/concurrency-interview/thread-pool-pattern,
Concurrency and Multi-threading Concepts,Concurrency Patterns,Producer-Consumer Pattern,https://algomaster.io/learn/concurrency-interview/producer-consumer-pattern,
Concurrency and Multi-threading Concepts,Concurrency Patterns,Reader-Writer Pattern,https://algomaster.io/learn/concurrency-interview/reader-writer-pattern,
Interview Prep,,How to Answer a LLD Interview Problem,https://blog.algomaster.io/p/how-to-answer-a-lld-interview-problem,
LLD Interview Problems,Easy,Design Parking Lot,problems/parking-lot.md,
LLD Interview Problems,Easy,Design Stack Overflow,problems/stack-overflow.md,
LLD Interview Problems,Easy,Design a Vending Machine,problems/vending-machine.md,
LLD Interview Problems,Easy,Design Logging Framework,problems/logging-framework.md,
LLD Interview Problems,Easy,Design Traffic Signal Control System,problems/traffic-signal.md,
LLD Interview Problems,Easy,Design Coffee Vending Machine,problems/coffee-vending-machine.md,
LLD Interview Problems,Easy,Design a Task Management System,problems/task-management-system.md,
LLD Interview Problems,Medium,Design ATM,problems/atm.md,
LLD Interview Problems,Medium,Design LinkedIn,problems/linkedin.md,
LLD Interview Problems,Medium,Design LRU Cache,problems/lru-cache.md,
LLD Interview Problems,Medium,Design Tic Tac Toe Game,problems/tic-tac-toe.md,
LLD Interview Problems,Medium,Design Pub Sub System,problems/pub-sub-system.md,
LLD Interview Problems,Medium,Design an Elevator System,problems/elevator-system.md,
LLD Interview Problems,Medium,Design Car Rental System,problems/car-rental-system.md,
LLD Interview Problems,Medium,Design an Online Auction System,problems/online-auction-system.md,
LLD Interview Problems,Medium,Design Hotel Management System,problems/hotel-management-system.md,
LLD Interview Problems,Medium,Design a Digital Wallet Service,problems/digital-wallet-service.md,
LLD Interview Problems,Medium,Design Airline Management System,problems/airline-management-system.md,
LLD Interview Problems,Medium,Design a Library Management System,problems/library-management-system.md,
LLD Interview Problems,Medium,Design a Social Network like Facebook,problems/social-networking-service.md,
LLD Interview Problems,Medium,Design Restaurant Management System,problems/restaurant-management-system.md,
LLD Interview Problems,Medium,Design a Concert Ticket Booking System,problems/concert-ticket-booking-system.md,
LLD Interview Problems,Hard,Design CricInfo,problems/cricinfo.md,
LLD Interview Problems,Hard,Design Splitwise,problems/splitwise.md,
LLD Interview Problems,Hard,Design Chess Game,problems/chess-game.md,
LLD Interview Problems,Hard,Design a Snake and Ladder game,problems/snake-and-ladder.md,
LLD Interview Problems,Hard,Design Ride-Sharing Service like Uber,problems/ride-sharing-service.md,
LLD Interview Problems,Hard,Design Course Registration System,problems/course-registration-system.md,
LLD Interview Problems,Hard,Design Movie Ticket Booking System,problems/movie-ticket-booking-system.md,
LLD Interview Problems,Hard,Design Online Shopping System like Amazon,problems/online-shopping-service.md,
LLD Interview Problems,Hard,Design Online Stock Brokerage System,problems/online-stock-brokerage-system.md,
LLD Interview Problems,Hard,Design Music Streaming Service like Spotify,problems/music-streaming-service.md,
LLD Interview Problems,Hard,Design Online Food Delivery Service like Swiggy,problems/food-delivery-service.md,
Concurrency and Multi-threading Problems,,Print FooBar Alternately,https://algomaster.io/learn/concurrency-interview/print-foobar-alternately,
Concurrency and Multi-threading Problems,,Print Zero Even Odd,https://algomaster.io/learn/concurrency-interview/print-zero-even-odd,
Concurrency and Multi-threading Problems,,Fizz Buzz Multithreaded,https://algomaster.io/learn/concurrency-interview/fizz-buzz-multithreaded,
Concurrency and Multi-threading Problems,,Building H2O Molecule,https://algomaster.io/learn/concurrency-interview/building-h2o,
Concurrency and Multi-threading Problems,,Design Thread-Safe Cache with TTL,https://algomaster.io/learn/concurrency-interview/design-thread-safe-cache-with-ttl,
Concurrency and Multi-threading Problems,,Design Concurrent HashMap,https://algomaster.io/learn/concurrency-interview/design-concurrent-hashmap,
Concurrency and Multi-threading Problems,,Design Thread-Safe Blocking Queue,https://algomaster.io/learn/concurrency-interview/design-thread-safe-blocking-queue,
Concurrency and Multi-threading Problems,,Design Concurrent Bloom Filter,https://algomaster.io/learn/concurrency-interview/design-concurrent-bloom-filter,
Concurrency and Multi-threading Problems,,Multi-threaded Merge Sort,https://algomaster.io/learn/concurrency-interview/multi-threaded-merge-sort,
Courses,,Master LLD Interviews - AlgoMaster.io,https://algomaster.io/learn/lld/course-introduction,
Courses,,Master Concurrency Interviews - AlgoMaster.io,https://algomaster.io/learn/concurrency-interview,
Books,,Head First Design Patterns,https://www.amazon.in/dp/9385889753,
Books,,Clean Code,https://www.amazon.in/dp/B001GSTOAM,
Books,,Refactoring: Improving the Design of Existing Code,https://www.amazon.in/dp/0134757599,
Newsletter,,AlgoMaster Newsletter,https://blog.algomaster.io/,
Additional Resources,,Coursera - Object-Oriented Design,https://www.coursera.org/learn/object-oriented-design,
Additional Resources,,Coursera - Design Patterns,https://www.coursera.org/learn/design-patterns,
Additional Resources,,Github - Awesome Design Patterns,https://github.com/DovAmir/awesome-design-patterns,
